Username,Email,MembershipStatus,Location
bruceconner,bruceconner@outlook.com,False,"New York, United States"
jnelson,jnelson@yahoo.com,True,"Buenos Aires, Argentina"
jonathanrodriguez,jonathanrodriguez@yahoo.com,True,"Shenzhen, China"
gmiller,gmiller@gmail.com,True,"Tokyo, Japan"
isaiah79,isaiah79@outlook.com,True,"Rome, Italy"
crystalhicks,crystalhicks@outlook.com,True,"Mumbai, India"
erinhunter,erinhunter@hotmail.com,True,"London, United Kingdom"
jessica16,jessica16@gmail.com,False,"Singapore, Singapore"
aliciagreen,aliciagreen@hotmail.com,True,"Delhi, India"
caitlynnunez,caitlynnunez@yahoo.com,True,"Zagreb, Croatia"
drewsmith,drewsmith@gmail.com,True,"Porto Alegre, Brazil"
riceteresa,riceteresa@outlook.com,True,"Lima, Peru"
gilbertmartinez,gilbertmartinez@gmail.com,True,"Kolkata, India"
kevinhorne,kevinhorne@yahoo.com,False,"Sydney, Australia"
cschroeder,cschroeder@hotmail.com,True,"Houston, United States"
julieadams,julieadams@gmail.com,False,"Houston, United States"
qdiaz,qdiaz@yahoo.com,True,"Sydney, Australia"
cunninghamwalter,cunninghamwalter@yahoo.com,False,"Sydney, Australia"
mercersandra,mercersandra@gmail.com,True,"Shenzhen, China"
collinsjacqueline,collinsjacqueline@yahoo.com,True,"São Paulo, Brazil"
nsampson,nsampson@gmail.com,True,"Beijing, China"
hernandezbrenda,hernandezbrenda@gmail.com,True,"New York, United States"
imartin,imartin@yahoo.com,False,"Guangzhou, China"
barrynathaniel,barrynathaniel@gmail.com,True,"Lahore, Pakistan"
lori19,lori19@hotmail.com,False,"Ahmedabad, India"
sarahbrown,sarahbrown@gmail.com,True,"San Antonio, United States"
reneehoward,reneehoward@gmail.com,False,"Kyiv, Ukraine"
fryewillie,fryewillie@yahoo.com,True,"Lusaka, Zambia"
bryan52,bryan52@yahoo.com,False,"Monterrey, Mexico"
amy78,amy78@outlook.com,False,"Tashkent, Uzbekistan"
morganaaron,morganaaron@yahoo.com,True,"Chennai, India"
mauricebrewer,mauricebrewer@hotmail.com,True,"Nanjing, China"
callen,callen@outlook.com,True,"Chicago, United States"
michaelhawkins,michaelhawkins@hotmail.com,False,"São Paulo, Brazil"
jwalker,jwalker@gmail.com,False,"Philadelphia, United States"
karen98,karen98@gmail.com,False,"Bogotá, Colombia"
jeffreymartinez,jeffreymartinez@hotmail.com,False,"Ho Chi Minh City, Vietnam"
nharrington,nharrington@yahoo.com,True,"Antananarivo, Madagascar"
edwardscott,edwardscott@hotmail.com,False,"Casablanca, Morocco"
whiteelijah,whiteelijah@gmail.com,True,"Nanjing, China"
mgraham,mgraham@yahoo.com,False,"Amsterdam, Netherlands"
kennethsmith,kennethsmith@yahoo.com,False,"Kigali, Rwanda"
destiny66,destiny66@yahoo.com,True,"Kigali, Rwanda"
bblackburn,bblackburn@gmail.com,True,"Stockholm, Sweden"
priceerin,priceerin@hotmail.com,True,"Chongqing, China"
wadebrett,wadebrett@yahoo.com,False,"London, United Kingdom"
cherylromero,cherylromero@yahoo.com,False,"Buenos Aires, Argentina"
